,ratings,Bold,Tannic,Sweet,Acidic,Winery,Grapes,Region,Wine style,Alcohol content,Allergens,Bottle closure,Best enjoyed between,Certification
red,4.6,84.4692%;,46.3874%;,14.218%;,61.7728%;,Alpha Omega,"Cabernet Sauvignon, Cabernet Franc, Malbec, Merlot, Petit Verdot",United States / California / North Coast / Napa County / Napa Valley,Napa Valley Bordeaux Blend,14.80%,Contains sulfites,,,
red,4.5,67.9982%;,37.0614%;,21.9157%;,32.6601%;,Viña Cobos,100% Malbec,Argentina / Mendoza / Lujan de Cuyo,Argentinian Malbec,13.50%,Contains sulfites,Cork,,
red,4.5,41.6207%;,32.8475%;,20.1509%;,53.0704%;,Corte Lavel,"Corvina, Rondinella, Molinara",Italy / Veneto / Valpolicella / Amarone della Valpolicella,Italian Valpolicella Red,,Contains sulfites,,,
red,4.5,85%;,22.4368%;,49.5266%;,24.2069%;,Brunelli,"60% Corvina, 30% Rondinella, 10% Corvinone",Italy / Veneto / Valpolicella / Amarone della Valpolicella / Amarone della Valpolicella Classico,Italian Amarone,15%,Contains sulfites,Cork,,
red,4.4,65.0652%;,35.3253%;,20.802%;,34.8712%;,El Enemigo,100% Malbec,Argentina / Mendoza,Argentinian Malbec,13.50%,Contains sulfites,,now - 2025,
red,4.4,67.1404%;,62.0017%;,9.72542%;,61.3628%;,Muga,100% Tempranillo,Spain / Rioja,Spanish Rioja Red,14%,"Contains sulfites, egg allergens",Cork,now - 2028,
red,4.4,81.4911%;,57.2118%;,12.0619%;,44.1262%;,Quinta do Crasto,100% Touriga Nacional,Portugal / Duriense / Douro,Portuguese Douro Red,14.50%,Contains sulfites,,,
red,4.4,68.1796%;,36.5183%;,22.7018%;,34.7941%;,Viña Cobos,100% Malbec,Argentina / Mendoza / Uco Valley,Argentinian Malbec,14%,Contains sulfites,,,
red,4.4,68.3648%;,53.8302%;,15.7186%;,42.0681%;,Viña Cobos,100% Cabernet Sauvignon,Argentina / Mendoza / Lujan de Cuyo,Argentinian Cabernet Sauvignon,,Contains sulfites,,,
red,4.4,85%;,39.6723%;,14.9417%;,44.3797%;,Alto Moncayo,100% Garnacha,Spain / Aragón / Campo de Borja,Spanish Grenache,16.30%,Contains sulfites,Cork,2021 - 2030,
red,4.4,85%;,23.3871%;,47.6043%;,27.1769%;,Casa Vinicola Bennati,"Corvina, Rondinella, Molinara",Italy / Veneto / Valpolicella / Amarone della Valpolicella,Italian Amarone,14.50%,Contains sulfites,,,
red,4.4,79.7858%;,60.8714%;,19.3772%;,35.1251%;,Tridente,100% Tempranillo,Spain / Castilla y León,Spanish Tempranillo,16%,Contains sulfites,Cork,,
red,4.4,85%;,44.1089%;,28.5649%;,42.6093%;,Atalaya,100% Garnacha Tintorera,Spain / Castilla / Almansa,Spanish Grenache,15.50%,Contains sulfites,Cork,,
red,4.4,70.1938%;,42.266%;,18.4378%;,42.7525%;,Juan Gil,100% Mourvedre,Spain / Murcia / Jumilla,Spanish Red,15.50%,Contains sulfites,Cork,,
red,4.4,85%;,51.7114%;,22.9634%;,61.986%;,Venge Vineyards,"63% Zinfandel, 16% Charbono, 12% Petite Sirah, 9% Shiraz/Syrah",United States / California / North Coast / Napa County / Napa Valley,Californian Red Blend,15.50%,Contains sulfites,,,
red,4.4,85%;,51.5354%;,9.16033%;,63.7425%;,The Hess Collection,100% Malbec,United States / California / North Coast / Napa County / Napa Valley,Napa Valley Bordeaux Blend,14.80%,Contains sulfites,,,
red,4.4,77.6143%;,39.4543%;,5.47217%;,45.5447%;,Château Fargueirol,"Shiraz/Syrah, Grenache",France / Rhone Valley / Southern Rhône / Châteauneuf-du-Pape,Southern Rhône Châteauneuf-du-Pape Red,14.50%,Contains sulfites,,,
red,4.4,26.6951%;,21.0404%;,6.77065%;,62.1127%;,Shea Wine Cellars,100% Pinot Noir,United States / Oregon / Willamette Valley,Oregon Pinot Noir,14%,Contains sulfites,,,
red,4.4,40.5829%;,19.6504%;,8.17993%;,52.9808%;,Emeritus Vineyards,100% Pinot Noir,United States / California / North Coast / Sonoma County / Russian River Valley,Californian Pinot Noir,13.70%,Contains sulfites,,,
red,4.4,68.7298%;,48.0632%;,1.87603%;,53.297%;,Château Fargueirol,"Cabernet Sauvignon, Cabernet Franc, Merlot",France / Rhone Valley / Southern Rhône,Southern Rhône Red,13.50%,Contains sulfites,Cork,,
red,4.4,50.958%;,17.5328%;,12.8464%;,51.1109%;,Belle Glos,100% Pinot Noir,United States / California / North Coast / Sonoma County / Russian River Valley,Californian Pinot Noir,14.70%,Contains sulfites,,,
red,4.4,85%;,51.5248%;,5.51668%;,51.9118%;,Erikson & Caradin,Cabernet Sauvignon,United States / California / North Coast / Napa County / Napa Valley / Atlas Peak,Napa Valley Cabernet Sauvignon,,Contains sulfites,,,
red,4.4,85%;,45.5975%;,3.54624%;,58.1467%;,Clos de Napa,"Cabernet Sauvignon, Merlot",United States / California / North Coast / Napa County / Napa Valley,Californian Red Blend,,Contains sulfites,,,
red,4.4,42.2488%;,18.7233%;,5.2474%;,54.2139%;,Failla,100% Pinot Noir,United States / California / North Coast / Sonoma County / Sonoma Coast,Californian Pinot Noir,13.40%,Contains sulfites,,,
red,4.4,84.876%;,34.9458%;,8.29411%;,43.5491%;,Château Jas de Bressy,"Shiraz/Syrah, Grenache",France / Rhone Valley / Southern Rhône / Châteauneuf-du-Pape,Southern Rhône Châteauneuf-du-Pape Red,14.50%,Contains sulfites,,,
red,4.4,79.2499%;,51.9155%;,10.0422%;,35.337%;,Ordóñez,100% Tempranillo,Spain / Castilla y León / Toro,Spanish Toro Red,15.50%,Contains sulfites,,,
red,4.4,82.8893%;,53.023%;,12.4791%;,57.3299%;,DAOU,100% Cabernet Sauvignon,United States / California / Central Coast / San Luis Obispo County / Paso Robles,Californian Red Blend,14.90%,Contains sulfites,,,
red,4.4,85%;,25.7004%;,39.039%;,9.09973%;,Rombauer Vineyards,100% Zinfandel,United States / California / Sierra Foothills / El Dorado County / El Dorado,Californian Zinfandel,15.90%,Contains sulfites,,,
red,4.4,34.6832%;,17.5098%;,4.90792%;,54.8539%;,Scribe,100% Pinot Noir,United States / California / North Coast / Napa County / Napa Valley / Los Carneros,Californian Pinot Noir,,Contains sulfites,,,
red,4.4,74.2018%;,54.8326%;,5.5251%;,53.1361%;,Château Prieurs de la Commanderie,100% Merlot,France / Bordeaux / Libournais / Pomerol,Bordeaux Pomerol,13.50%,Contains sulfites,,,
red,4.4,55.9987%;,12.0658%;,0px;,51.104%;,J Vineyards,Pinot Noir,United States / California / North Coast / Sonoma County / Russian River Valley,Californian Pinot Noir,,Contains sulfites,,,
red,4.4,85%;,33.1298%;,30.4881%;,16.7927%;,Peterson,100% Zinfandel,United States / California / North Coast / Sonoma County / Dry Creek Valley,Californian Zinfandel,,Contains sulfites,,,
red,4.4,66.7936%;,42.4067%;,18.7515%;,27.1339%;,Sansonina,100% Merlot,Italy / Veneto / Verona,Northern Italy Red,,Contains sulfites,,,
red,4.4,62.5537%;,28.2852%;,28.2634%;,30.4916%;,Bidoli,Merlot,Italy / Friuli-Venezia Giulia / Friuli Grave,Northern Italy Red,,Contains sulfites,,,
red,4.4,82.1743%;,80.3248%;,0px;,55.8521%;,The Terraces,100% Petite Sirah,United States / California / North Coast / Napa County / Napa Valley,Californian Petite Sirah,14.60%,Contains sulfites,,,
red,4.3,62.8257%;,57.8465%;,8.49429%;,60.4894%;,La Rioja Alta,100% Tempranillo,Spain / Rioja,Spanish Rioja Red,14.50%,"Contains sulfites, egg allergens, milk allergens",Cork,,
red,4.3,66.8144%;,54.3473%;,7.67292%;,62.315%;,Meerlust,"49% Cabernet Sauvignon, 28% Merlot, 20% Cabernet Franc, 3% Petit Verdot",South Africa / Western Cape / Coastal Region / Stellenbosch,South African Bordeaux Blend,14.50%,Contains sulfites,,now - 2028,
red,4.3,65.4293%;,55.796%;,14.6714%;,58.7262%;,Arzuaga,100% Tempranillo,Spain / Castilla y León / Ribera del Duero,Spanish Ribera Del Duero Red,14.50%,Contains sulfites,Cork,,
red,4.3,64.0847%;,59.93%;,6.04037%;,61.5786%;,La Rioja Alta,100% Tempranillo,Spain / Rioja,Spanish Rioja Red,12.60%,Contains sulfites,Cork,,
red,4.3,73.2011%;,43.6376%;,14.6929%;,40.7364%;,Esporão,"60% Aragonez, 20% Trincadeira, 15% Cabernet Sauvignon, 5% Alicante Bouschet",Portugal / Alentejano / Alentejo,Portuguese Alentejo Red,14.50%,Contains sulfites,,,
red,4.3,85%;,46.1452%;,15.8558%;,39.5233%;,Treana,100% Cabernet Sauvignon,United States / California / Central Coast / San Luis Obispo County / Paso Robles,Californian Cabernet Sauvignon,14.50%,Contains sulfites,,,
red,4.3,74.409%;,47.373%;,13.5457%;,40.3116%;,Viña Cobos,"75% Malbec, 11% Cabernet Sauvignon, 8% Cabernet Franc, 3% Shiraz/Syrah, 3% Merlot",Argentina / Mendoza,Argentinian Cabernet Sauvignon - Malbec,,Contains sulfites,,,
red,4.3,85%;,49.2119%;,8.45027%;,56.5055%;,Chappellet,100% Cabernet Sauvignon,United States / California / North Coast / Napa County / Napa Valley,Napa Valley Bordeaux Blend,14.50%,Contains sulfites,,,
red,4.3,81.9404%;,56.9353%;,8.82963%;,43.0161%;,Roquette & Cazes,Touriga Nacional,Portugal / Duriense / Douro,Portuguese Douro Red,,Contains sulfites,,,
red,4.3,79.5617%;,51.2274%;,17.4263%;,41.8962%;,Quinta da Romaneira,"Touriga Franca, Tinta Roriz",Portugal / Duriense / Douro,Portuguese Douro Red,13.50%,Contains sulfites,,,
red,4.3,70.4249%;,35.2719%;,15.2255%;,40.8491%;,Perez Cruz,100% Carménère,Chile / Central Valley / Maipo Valley,Chilean Carménère,14%,Contains sulfites,,,
red,4.3,67.4292%;,47.1936%;,10.9362%;,43.0793%;,Kanonkop,100% Pinotage,South Africa / Western Cape / Coastal Region / Stellenbosch,South African Pinotage,14.50%,Contains sulfites,Cork,now - 2035,
red,4.3,68.4786%;,64.4564%;,11.7958%;,54.7046%;,Aia Vecchia,100% Cabernet Sauvignon,Italy / Toscana / Bolgheri / Bolgheri Superiore,Italian Bolgheri,15%,Contains sulfites,,,
