,ratings,Bold,Tannic,Sweet,Alcohol content,contain_eggs,contain_milk,Type_dessert,Type_fortified,Type_red,Type_rose,Type_sparkling,Type_white
0,4.6,84.4692,46.3874,14.218,14.8,0,0,0,0,1,0,0,0
1,4.5,67.9982,37.0614,21.9157,13.5,0,0,0,0,1,0,0,0
2,4.5,41.6207,32.8475,20.1509,13.5890593,0,0,0,0,1,0,0,0
3,4.5,85,22.4368,49.5266,15,0,0,0,0,1,0,0,0
4,4.4,65.0652,35.3253,20.802,13.5,0,0,0,0,1,0,0,0
5,4.4,67.1404,62.0017,9.72542,14,1,0,0,0,1,0,0,0
6,4.4,81.4911,57.2118,12.0619,14.5,0,0,0,0,1,0,0,0
7,4.4,68.1796,36.5183,22.7018,14,0,0,0,0,1,0,0,0
8,4.4,68.3648,53.8302,15.7186,13.5890593,0,0,0,0,1,0,0,0
9,4.4,85,39.6723,14.9417,16.3,0,0,0,0,1,0,0,0
10,4.4,85,23.3871,47.6043,14.5,0,0,0,0,1,0,0,0
11,4.4,79.7858,60.8714,19.3772,16,0,0,0,0,1,0,0,0
12,4.4,85,44.1089,28.5649,15.5,0,0,0,0,1,0,0,0
13,4.4,70.1938,42.266,18.4378,15.5,0,0,0,0,1,0,0,0
14,4.4,85,51.7114,22.9634,15.5,0,0,0,0,1,0,0,0
15,4.4,85,51.5354,9.16033,14.8,0,0,0,0,1,0,0,0
16,4.4,77.6143,39.4543,5.47217,14.5,0,0,0,0,1,0,0,0
17,4.4,26.6951,21.0404,6.77065,14,0,0,0,0,1,0,0,0
18,4.4,40.5829,19.6504,8.17993,13.7,0,0,0,0,1,0,0,0
19,4.4,68.7298,48.0632,1.87603,13.5,0,0,0,0,1,0,0,0
20,4.4,50.958,17.5328,12.8464,14.7,0,0,0,0,1,0,0,0
21,4.4,85,51.5248,5.51668,13.5890593,0,0,0,0,1,0,0,0
22,4.4,85,45.5975,3.54624,13.5890593,0,0,0,0,1,0,0,0
23,4.4,42.2488,18.7233,5.2474,13.4,0,0,0,0,1,0,0,0
24,4.4,84.876,34.9458,8.29411,14.5,0,0,0,0,1,0,0,0
25,4.4,79.2499,51.9155,10.0422,15.5,0,0,0,0,1,0,0,0
26,4.4,82.8893,53.023,12.4791,14.9,0,0,0,0,1,0,0,0
27,4.4,85,25.7004,39.039,15.9,0,0,0,0,1,0,0,0
28,4.4,34.6832,17.5098,4.90792,13.5890593,0,0,0,0,1,0,0,0
29,4.4,74.2018,54.8326,5.5251,13.5,0,0,0,0,1,0,0,0
30,4.4,55.9987,12.0658,48.83179461,13.5890593,0,0,0,0,1,0,0,0
31,4.4,85,33.1298,30.4881,13.5890593,0,0,0,0,1,0,0,0
32,4.4,66.7936,42.4067,18.7515,13.5890593,0,0,0,0,1,0,0,0
33,4.4,62.5537,28.2852,28.2634,13.5890593,0,0,0,0,1,0,0,0
34,4.4,82.1743,80.3248,48.83179461,14.6,0,0,0,0,1,0,0,0
35,4.3,62.8257,57.8465,8.49429,14.5,1,1,0,0,1,0,0,0
36,4.3,66.8144,54.3473,7.67292,14.5,0,0,0,0,1,0,0,0
37,4.3,65.4293,55.796,14.6714,14.5,0,0,0,0,1,0,0,0
38,4.3,64.0847,59.93,6.04037,12.6,0,0,0,0,1,0,0,0
